PROVINCIA,PARTIDO,HAB_2001,HAB_2010,VAR_2001-2010,VAR_PORCENTUAL
Cordoba,Totoral,16.479,18.556,2.077,"12,6"
Provincia de Buenos Aires.,Quilmes,518.788,582.943,64.155,"12,4"
Provincia de Buenos Aires.,Merlo,469.985,528.494,58.509,"12,4"
Misiones,Oberá,95.667,107.501,11.834,"12,4"
La Rioja,Arauco,13.720,15.418,1.698,"12,4"
Rio Negro,Conesa,6.291,7.069,778,"12,4"
Tucuman,Trancas,15.473,17.371,1.898,"12,3"
Chaco,Libertad,10.822,12.158,1.336,"12,3"
Mendoza,Maipú,153.600,172.332,18.732,"12,2"
Tucuman,Burruyacú,32.936,36.951,4.015,"12,2"
Catamarca,Antofagasta de la Sierra,1.282,1.436,154,"12,0"
Salta,Orán,124.029,138.838,14.809,"11,9"
Provincia de Buenos Aires.,Salto,29.189,32.653,3.464,"11,9"
Salta,General Güemes,42.255,47.226,4.971,"11,8"
Formosa,Formosa,210.071,234.354,24.283,"11,6"
Tucuman,Famaillá,30.951,34.542,3.591,"11,6"
Catamarca,Fray Mamerto Esquiú,10.658,11.896,1.238,"11,6"
La Pampa,Caleu Caleu,2.075,2.313,238,"11,5"
Jujuy,Dr. Manuel Belgrano,238.012,265.249,27.237,"11,4"
Santiago del Estero,Atamisqui,9.809,10.923,1.114,"11,4"
Mendoza,Las Heras,182.962,203.666,20.704,"11,3"
Tucuman,Cruz Alta,162.240,180.499,18.259,"11,3"
Misiones,Apóstoles,38.028,42.249,4.221,"11,1"
Provincia de Buenos Aires.,Malvinas Argentinas,290.691,322.375,31.684,"10,9"
Santiago del Estero,Robles,40.060,44.415,4.355,"10,9"
Salta,Rivadavia,27.370,30.357,2.987,"10,9"
Provincia de Buenos Aires.,Rivadavia,15.452,17.143,1.691,"10,9"
Santiago del Estero,Banda,128.387,142.279,13.892,"10,8"
Provincia de Buenos Aires.,Baradero,29.562,32.761,3.199,"10,8"
Santa Fe,San Lorenzo,142.097,157.255,15.158,"10,7"
Provincia de Buenos Aires.,San Andrés de Giles,20.829,23.027,2.198,"10,6"
Chaco,12 de Octubre,20.149,22.281,2.132,"10,6"
Provincia de Buenos Aires.,Tapalqué,8.296,9.178,882,"10,6"
Provincia de Buenos Aires.,Berisso,80.092,88.470,8.378,"10,5"
Santiago del Estero,Alberdi,15.617,17.252,1.635,"10,5"
Formosa,Bermejo,12.710,14.046,1.336,"10,5"
Cordoba,Juárez Celman,55.348,61.078,5.730,"10,4"
San Juan,Santa Lucía,43.565,48.087,4.522,"10,4"
Provincia de Buenos Aires.,Ensenada,51.448,56.729,5.281,"10,3"
Santa Fe,Las Colonias,95.202,104.946,9.744,"10,2"
Chaco,Comandante Fernández,88.164,96.944,8.780,"10,0"
Cordoba,Río Primero,42.429,46.675,4.246,"10,0"
Chaco,Chacabuco,27.813,30.590,2.777,"10,0"
Santa Fe,Castellanos,162.165,178.092,15.927,"9,8"
Cordoba,General San Martín,116.107,127.454,11.347,"9,8"
Provincia de Buenos Aires.,General Pueyrredón,564.056,618.989,54.933,"9,7"
Misiones,Libertador General San Martín,42.440,46.561,4.121,"9,7"
Provincia de Buenos Aires.,Pila,3.318,3.640,322,"9,7"
Corrientes,Lavalle,26.250,28.759,2.509,"9,6"
San Juan,San Martín,10.140,11.115,975,"9,6"
Chubut,Florentino Ameghino,1.484,1.627,143,"9,6"
Provincia de Buenos Aires.,Chascomús,38.647,42.277,3.630,"9,4"
Cordoba,San Javier,48.951,53.520,4.569,"9,3"
Rio Negro,Avellaneda,32.308,35.323,3.015,"9,3"
