PROVINCIA;PARTIDO;HAB_2001;HAB_2010;VAR_2001-2010;VAR_PORCENTUAL
Santiago del Estero;Capital;244567;267125;22558;9
Jujuy;Palpalá;48199;52631;4432;9
Provincia de Buenos Aires.;San Miguel;253086;276190;23104;9
Provincia de Buenos Aires.;Lobos;33141;36172;3031;9
Mendoza;San Martín;108448;118220;9772;9
Misiones;San Javier;19187;20906;1719;9
Corrientes;San Cosme;13189;14381;1192;9
Santiago del Estero;Jiménez;13170;14352;1182;9
Corrientes;Capital;328868;358223;29355;9
Tucuman;Monteros;58442;63641;5199;9
Formosa;Pilcomayo;78114;85024;6910;9
San Juan;Ullum;4490;4886;396;9
La Pampa;Capital;96920;105312;8392;9
Chaco;Independencia;20620;22411;1791;9
Provincia de Buenos Aires.;Hipólito Yrigoyen;8819;9585;766;9
Chaco;Libertador General San Martín;54470;59147;4677;9
Provincia de Buenos Aires.;General Paz;10319;11202;883;9
Cordoba;San Justo;190182;206307;16125;9
San Juan;Rivadavia;76150;82641;6491;9
Provincia de Buenos Aires.;Saladillo;29600;32103;2503;9
Provincia de Buenos Aires.;San Antonio de Areco;21333;23138;1805;9
Provincia de Buenos Aires.;Florentino Ameghino;8171;8869;698;9
La Pampa;Catriló;6728;7293;565;8
Mendoza;San Rafael;173571;188018;14447;8
Cordoba;Río Segundo;95803;103718;7915;8
Jujuy;Rinconada;2298;2488;190;8
La Rioja;Sanagasta;2165;2345;180;8
Misiones;Leandro N. Alem;41670;45075;3405;8
Provincia de Buenos Aires.;Tornquist;11759;12723;964;8
Santiago del Estero;Aguirre;7035;7610;575;8
Entre Rios;Concordia;157291;170033;12742;8
Santa Fe;Belgrano;41449;44788;3339;8
Provincia de Buenos Aires.;Patagones;27938;30207;2269;8
Provincia de Buenos Aires.;San Fernando;151131;163240;12109;8
Entre Rios;Gualeguaychú;101350;109461;8111;8
Jujuy;Ledesma;75716;81790;6074;8
Santiago del Estero;Río Hondo;50781;54867;4086;8
Mendoza;Junín;35045;37859;2814;8
Provincia de Buenos Aires.;General Juan Madariaga;18286;19747;1461;8
Provincia de Buenos Aires.;Navarro;15797;17054;1257;8
Chaco;General Güemes;62227;67132;4905;8
La Pampa;Maracó;54699;59024;4325;8
Corrientes;Monte Caseros;33684;36338;2654;8
Salta;La Candelaria;5286;5704;418;8
Entre Rios;Gualeguay;48147;51883;3736;8
Misiones;Montecarlo;34073;36745;2672;8
Entre Rios;San Salvador;16118;17357;1239;8
La Pampa;Chapaleufú;10787;11620;833;8
Tucuman;Leales;51090;54949;3859;8
Neuquen;Chos Malal;14185;15256;1071;8
Tucuman;Tafí del Valle;13883;14933;1050;8
Provincia de Buenos Aires.;Olavarría;103961;111708;7747;8
Tucuman;Chicligasta;75133;80735;5602;8
Catamarca;La Paz;21061;22638;1577;8
Tucuman;La Cocha;17683;19002;1319;8
Santiago del Estero;San Martín;9148;9831;683;8
Salta;Los Andes;5630;6050;420;8
Tucuman;Río Chico;52925;56847;3922;7
Provincia de Buenos Aires.;Colón;23179;24890;1711;7
Corrientes;San Martín;12236;13140;904;7
Santa Fe;La Capital;489505;525093;35588;7
Cordoba;Río Cuarto;229728;246393;16665;7
Santiago del Estero;Avellaneda;19348;20763;1415;7
San Juan;Angaco;7570;8125;555;7
Corrientes;Berón de Astrada;2294;2461;167;7
Provincia de Buenos Aires.;Almirante Brown;515556;552902;37346;7
Mendoza;Rivadavia;52567;56373;3806;7
Provincia de Buenos Aires.;Chacabuco;45445;48703;3258;7
Tucuman;Juan B. Alberdi;28206;30237;2031;7
Provincia de Buenos Aires.;Dolores;25216;27042;1826;7
Neuquen;Loncopué;6457;6925;468;7
Neuquen;Picún Leufú;4272;4578;306;7
Entre Rios;Uruguay;94070;100728;6658;7
Provincia de Buenos Aires.;Trenque Lauquen;40181;43021;2840;7
Cordoba;General Roca;33323;35645;2322;7
Chaco;San Fernando;365637;390874;25237;7
Provincia de Buenos Aires.;San Pedro;55234;59036;3802;7
Provincia de Buenos Aires.;General Villegas;28960;30864;1904;7
Santiago del Estero;Juan F. Ibarra;16937;18051;1114;7
Provincia de Buenos Aires.;Arrecifes;27279;29044;1765;7
Corrientes;San Luis del Palmar;16513;17590;1077;7
Provincia de Buenos Aires.;Daireaux;15857;16889;1032;7
Santa Fe;Rosario;1121441;1193605;72164;6
Entre Rios;Paraná;319614;339930;20316;6
San Juan;Rawson;107740;114368;6628;6
Chaco;Quitilipi;32083;34081;1998;6
Provincia de Buenos Aires.;Ituzaingó;158121;167824;9703;6
Santa Fe;San Cristóbal;64935;68878;3943;6
Santa Fe;General Obligado;166436;176410;9974;6
Catamarca;Andalgalá;17102;18132;1030;6
La Pampa;Realicó;15302;16227;925;6
Provincia de Buenos Aires.;Bahía Blanca;284776;301572;16796;6
Chaco;9 de Julio;26955;28555;1600;6
San Luis;Gobernador Dupuy;11120;11779;659;6
La Pampa;Limay Mahuida;475;503;28;6
Provincia de Buenos Aires.;San Nicolás;137867;145857;7990;6
Formosa;Patiño;64830;68581;3751;6
La Rioja;Chamical;13383;14160;777;6
Provincia de Buenos Aires.;Mercedes;59870;63284;3414;6
Chaco;Sargento Cabral;15030;15889;859;6
La Rioja;Rosario Vera Peñaloza;13299;14054;755;6
Jujuy;San Pedro;71037;75037;4000;6
Provincia de Buenos Aires.;Chivilcoy;60762;64185;3423;6
Provincia de Buenos Aires.;Punta Indio;9362;9888;526;6
Cordoba;Unión;100247;105727;5480;6
Corrientes;Curuzú Cuatiá;42075;44384;2309;6
Santa Fe;9 de Julio;28273;29832;1559;6
Provincia de Buenos Aires.;Pergamino;99193;104590;5397;5
Provincia de Buenos Aires.;Bolívar;32442;34190;1748;5
Provincia de Buenos Aires.;Laprida;9683;10210;527;5
Misiones;Concepción;9085;9577;492;5
Provincia de Buenos Aires.;Carlos Casares;21125;22237;1112;5
Provincia de Buenos Aires.;Hurlingham;172245;181241;8996;5
Santa Fe;San Martín;60698;63842;3144;5
Mendoza;General Alvear;44147;46429;2282;5
Corrientes;Bella Vista;35350;37181;1831;5
Provincia de Buenos Aires.;Saavedra;19715;20749;1034;5
Formosa;Laishi;16227;17063;836;5
Santiago del Estero;Salavina;10664;11217;553;5
San Juan;Valle Fértil;6864;7222;358;5
Entre Rios;Diamante;44095;46361;2266;5
Santiago del Estero;Pellegrini;19517;20514;997;5
Provincia de Buenos Aires.;Adolfo Alsina;16245;17072;827;5
Provincia de Buenos Aires.;Rauch;14434;15176;742;5
Provincia de Buenos Aires.;Guaminí;11257;11826;569;5
Corrientes;Paso de los Libres;46326;48642;2316;5
Formosa;Pilagás;17523;18399;876;5
Provincia de Buenos Aires.;Carmen de Areco;13992;14692;700;5
Entre Rios;Islas del Ibicuy;11498;12077;579;5
San Juan;Calingasta;8176;8588;412;5
Catamarca;El Alto;3400;3570;170;5
Mendoza;Godoy Cruz;182977;191903;8926;5
Santa Fe;General López;182113;191024;8911;5
Misiones;San Ignacio;55038;57728;2690;5
Entre Rios;Victoria;34097;35767;1670;5
Santa Fe;Garay;19913;20890;977;5
Santiago del Estero;Ojo de Agua;13352;14008;656;5
Cordoba;Río Seco;12635;13242;607;5
Cordoba;Pocho;5132;5380;248;5
Santa Fe;Constitución;83045;86910;3865;5
Cordoba;Presidente Roque Sáenz Peña;34647;36282;1635;5
Chaco;O'Higgins;19231;20131;900;5
San Luis;Coronel Pringles;12571;13157;586;5
Mendoza;La Paz;9560;10012;452;5
Santa Fe;San Jerónimo;77253;80840;3587;5
Cordoba;Marcos Juárez;99761;104205;4444;5
Jujuy;Cochinoca;12111;12656;545;5
Corrientes;Itatí;8774;9171;397;5
Provincia de Buenos Aires.;Castelli;7852;8205;353;5
Chubut;Tehuelches;5159;5390;231;5
Jujuy;Susques;3628;3791;163;5
Provincia de Buenos Aires.;Necochea;89096;92933;3837;4
Provincia de Buenos Aires.;Lomas de Zamora;591345;616279;24934;4
Provincia de Buenos Aires.;Avellaneda;328980;342677;13697;4
